id	classifier	log-loss	writer
1	l_tf	0.935	dennis
2	n_tf	0.938	dennis
3	l_w	0.735	dennis
4	n_w	2.655	dennis
5	l_g	1.072	dennis
6	n_g	1.072	dennis
7	l_tf	1.183	James
8	n_tf	0.919	James
9	l_w	1.278	James
10	n_w	10.194	James
11	l_g	1.177	James
12	n_g	1.178	James
